EKATTE_ID,SETTLEMENT_NAME,AREA(DECARS)
32901,"гр. Ихтиман, общ. Ихтиман, обл. София",90891
35033,"гр. Каблешково, общ. Поморие, обл. Бургас",52514
35064,"гр. Каварна, общ. Каварна, обл. Добрич",46448
35167,"гр. Казанлък, общ. Казанлък, обл. Стара Загора",36067
35496,"гр. Калофер, общ. Карлово, обл. Пловдив",155016
35883,"гр. Камено, общ. Камено, обл. Бургас",59287
36079,"гр. Каолиново, общ. Каолиново, обл. Шумен",31314
36498,"гр. Карлово, общ. Карлово, обл. Пловдив",102173
36525,"гр. Карнобат, общ. Карнобат, обл. Бургас",109657
36587,"гр. Каспичан, общ. Каспичан, обл. Шумен",40320
36779,"гр. Кермен, общ. Сливен, обл. Сливен",42120
36837,"гр. Килифарево, общ. Велико Търново, обл. Велико Търново",28989
37023,"гр. Китен, общ. Приморско, обл. Бургас",17003
37277,"гр. Клисура, общ. Карлово, обл. Пловдив",131402
37376,"гр. Кнежа, общ. Кнежа, обл. Плевен",178162
37798,"гр. Козлодуй, общ. Козлодуй, обл. Враца",105307
37863,"гр. Койнаре, общ. Червен бряг, обл. Плевен",81574
38558,"гр. Копривщица, общ. Копривщица, обл. София",139165
38844,"гр. Костандово, общ. Ракитово, обл. Пазарджик",49880
38902,"гр. Костенец, общ. Костенец, обл. София",0
38978,"гр. Костинброд, общ. Костинброд, обл. София",41405
39030,"гр. Котел, общ. Котел, обл. Сливен",131519
39116,"гр. Кочериново, общ. Кочериново, обл. Кюстендил",18515
14492,"гр. Кресна, общ. Кресна, обл. Благоевград",56467
39846,"гр. Криводол, общ. Криводол, обл. Враца",36625
39921,"гр. Кричим, общ. Кричим, обл. Пловдив",54895
39970,"гр. Крумовград, общ. Крумовград, обл. Кърджали",5144
40292,"гр. Крън, общ. Казанлък, обл. Стара Загора",28750
40422,"гр. Кубрат, общ. Кубрат, обл. Разград",56846
40467,"гр. Куклен, общ. Куклен, обл. Пловдив",31524
40525,"гр. Кула, общ. Кула, обл. Видин",63738
40909,"гр. Кърджали, общ. Кърджали, обл. Кърджали",30759
41112,"гр. Кюстендил, общ. Кюстендил, обл. Кюстендил",18720
43236,"гр. Левски, общ. Левски, обл. Плевен",30717
43476,"гр. Летница, общ. Летница, обл. Ловеч",68515
43952,"гр. Ловеч, общ. Ловеч, обл. Ловеч",69492
44166,"гр. Лозница, общ. Лозница, обл. Разград",24130
44238,"гр. Лом, общ. Лом, обл. Монтана",52203
44327,"гр. Луковит, общ. Луковит, обл. Ловеч",89115
44478,"гр. Лъки, общ. Лъки, обл. Пловдив",9779
44570,"гр. Любимец, общ. Любимец, обл. Хасково",57374
44793,"гр. Лясковец, общ. Лясковец, обл. Велико Търново",49472
46045,"гр. Мадан, общ. Мадан, обл. Смолян",22353
46084,"гр. Маджарово, общ. Маджарово, обл. Хасково",20167
46663,"гр. Малко Търново, общ. Малко Търново, обл. Бургас",137687
47336,"гр. Мартен, общ. Русе, обл. Русе",31998
47714,"гр. Мездра, общ. Мездра, обл. Враца",5343
47754,"гр. Мелник, общ. Сандански, обл. Благоевград",6464
47843,"гр. Меричлери, общ. Димитровград, обл. Хасково",46222
48043,"гр. Мизия, общ. Мизия, обл. Враца",64373
