MUNICIPALITY_CODE	PROVINCE_CODE	contains	EKATTE_ID	NAME_BG	TYPE_BG	NAME_EN	TYPE_EN
SHU18	SHU		"6094"	Браничево	с.	Branichevo	с.
DOB15	DOB		"6104"	Бранище	с.	Branishte	с.
VID15	VID		"6121"	Бранковци	с.	Brankovtsi	с.
SLV11	SLV		"6135"	Братан	с.	Bratan	с.
PAZ19	PAZ		"6149"	Братаница	с.	Bratanitsa	с.
BGS04	BGS		"6152"	Братово	с.	Bratovo	с.
TGV35	TGV		"6166"	Братово	с.	Bratovo	с.
SFO45	SFO		"6175"	Братушково	с.	Bratushkovo	с.
SZR04	SZR		"6183"	Братя Даскалови	с.	Bratya Daskalovi	с.
SZR31	SZR		"6197"	Братя Кунчеви	с.	Bratya Kunchevi	с.
PAZ06	PAZ		"6207"	Брацигово	гр.	Bratsigovo	гр.
PVN10	PVN		"6210"	Брегаре	с.	Bregare	с.
VID06	VID		"6224"	Брегово	гр.	Bregovo	гр.
BLG44	BLG		"6238"	Брежани	с.	Brezhani	с.
SML09	SML		"6269"	Брезе	с.	Breze	с.
SFO43	SFO		"6272"	Брезе	с.	Breze	с.
PER08	PER		"6286"	Брезник	гр.	Breznik	гр.
BLG11	BLG		"6306"	Брезница	с.	Breznitsa	с.
PER08	PER		"6313"	Брезнишки извор	с.	Breznishki izvor	с.
SFO43	SFO		"6327"	Брезовдол	с.	Brezovdol	с.
PDV07	PDV		"6361"	Брезово	гр.	Brezovo	гр.
PVN39	PVN		"6375"	Бреница	с.	Brenitsa	с.
SLS34	SLS		"6389"	Бреница	с.	Brenitsa	с.
KNL50	KNL		"6392"	Брест	с.	Brest	с.
PVN08	PVN		"6402"	Брест	с.	Brest	с.
VAR09	VAR		"6416"	Брестак	с.	Brestak	с.
PVN37	PVN		"6433"	Бресте	с.	Breste	с.
PDV26	PDV		"6447"	Брестник	с.	Brestnik	с.
LOV38	LOV		"6450"	Брестница	с.	Brestnitsa	с.
DOB27	DOB		"6464"	Брестница	с.	Brestnitsa	с.
RAZ11	RAZ		"6481"	Брестовене	с.	Brestovene	с.
PVN24	PVN		"6495"	Брестовец	с.	Brestovets	с.
PDV26	PDV		"6505"	Брестовица	с.	Brestovitsa	с.
RSE03	RSE		"6519"	Брестовица	с.	Brestovitsa	с.
BLG44	BLG		"6522"	Брестово	с.	Brestovo	с.
LOV18	LOV		"6536"	Брестово	с.	Brestovo	с.
HKV09	HKV		"6547"	Брод	с.	Brod	с.
BGS13	BGS		"6553"	Бродилово	с.	Brodilovo	с.
KRZ16	KRZ		"6567"	Брош	с.	Brosh	с.
MON07	MON		"6570"	Брусарци	гр.	Brusartsi	гр.
HKV18	HKV		"6584"	Брусевци	с.	Brusevtsi	с.
VRC27	VRC		"6598"	Брусен	с.	Brusen	с.
SFO18	SFO	"(2:49641,54050)"	"6608"	Брусен	с.	Brusen	с.
HKV11	HKV		"6625"	Брусино	с.	Brusino	с.
PER08	PER		"6639"	Брусник	с.	Brusnik	с.
RSE33	RSE		"6673"	Бръшлен	с.	Brashlen	с.
BGS12	BGS		"6687"	Бръшлян	с.	Brashlyan	с.
PVN24	PVN		"6690"	Бръшляница	с.	Brashlyanitsa	с.
SML10	SML		"6700"	Бръщен	с.	Brashten	с.
KRZ15	KRZ		"6728"	Бряговец	с.	Bryagovets	с.
VTR31	VTR		"6731"	Бряговица	с.	Bryagovitsa	с.
PDV23	PDV		"6745"	Брягово	с.	Bryagovo	с.
HKV34	HKV		"6759"	Брягово	с.	Bryagovo	с.
HKV09	HKV		"6762"	Бряст	с.	Bryast	с.
BGS04	BGS		"6776"	Брястовец	с.	Bryastovets	с.
SLV16	SLV		"6788"	Брястово	с.	Bryastovo	с.
HKV19	HKV	(1:48297)	"6803"	Брястово	с.	Bryastovo	с.
HKV11	HKV		"6817"	Бубино	с.	Bubino	с.
BLG28	BLG		"67369"	Сливница	с.	Slivnitsa	с.
SZR12	SZR		"6848"	Бузовград	с.	Buzovgrad	с.
SFO20	SFO	"(4:20729,48009,55405,63522)"	"6851"	Бузяковци	с.	Buzyakovtsi	с.
SHU07	SHU		"6865"	Буйновица	с.	Buynovitsa	с.
SML05	SML		"6879"	Буйново	с.	Buynovo	с.
TGV35	TGV		"6882"	Буйново	с.	Buynovo	с.
VTR13	VTR	"(7:10745,37616,43061,51531,51706,77445,83452)"	"6896"	Буйновци	с.	Buynovtsi	с.
KRZ15	KRZ		"6906"	Бук	с.	Buk	с.
TGV02	TGV		"6919"	Букак	с.	Bukak	с.
