"SETTLEMENT","MUNICIPALITY","PROVINCE","POSTAL_CODE","EKATTE_ID"
"Бангейци","Трявна","Габрово","5351","02563"
"Банево","Бургас","Бургас","8125","#N/A"
"Баниска","Две могили","Русе","7167","02587"
"Баните","Баните","Смолян","4940","44402"
"Баница","Враца","Враца","3077","02590"
"Баничан","Гоце Делчев","Благоевград","2905","02600"
"Банище","Брезник","Перник","2388","02614"
"Банковец","Антоново","Търговище","7997","02628"
"Банковци","Габрово","Габрово","5300","02631"
"Банкя","Трън","Перник","2466","02645"
"Банкя","Район Банкя","София","1320","#N/A"
"Баново","Суворово","Варна","9144","02662"
"Банско","Банско","Благоевград","2770","02676"
"Банчовци","Ихтиман","София","2060","02689"
"Баня","Разлог","Благоевград","2778","02693"
"Баня","Несебър","Бургас","8239","02703"
"Баня","Панагюрище","Пазарджик","4523","02717"
"Баня","Карлово","Пловдив","4360","02720"
"Баня","Нова Загора","Сливен","8914","02734"
"Бараково","Кочериново","Кюстендил","2634","02748"
"Бараци","Крумовград","Кърджали","6910","02751"
"Барутин","Доспат","Смолян","4830","02779"
"Басарбово","Русе","Русе","7071","02796"
"Баскалци","Петрич","Благоевград","2883","02806"
"Бата","Поморие","Бургас","8218","02810"
"Батак","Павликени","Велико Търново","5228","02823"
"Батак","Батак","Пазарджик","4580","02837"
"Батановци","Перник","Перник","2340","72223"
"Батин","Борово","Русе","7172","02854"
"Батишница","Две могили","Русе","7169","02868"
"Батово","Добрич","Добрич","9364","#N/A"
"Батошево","Севлиево","Габрово","5470","02885"
"Батулия","Своге","София","2295","02899"
"Батулци","Ябланица","Ловеч","5764","02909"
"Баурене","Криводол","Враца","3068","02912"
"Бахалин","Сливница","София","2219","02926"
"Баховица","Ловеч","Ловеч","5567","02935"
"Бахреци","Трявна","Габрово","5367","02943"
"Бацова махала","Никопол","Плевен","5948","02957"
"Бачево","Разлог","Благоевград","2769","02960"
"Бачково","Асеновград","Пловдив","4251","02974"
"Башево","Ардино","Кърджали","6777","02991"
"Бащино","Кърджали","Кърджали","6669","03006"
"Бащино","Главиница","Силистра","7619","03017"
"Бащино","Опан","Стара Загора","6068","03023"
"Баячево","Търговище","Търговище","7745","03037"
"Бдинци","Добрич","Добрич","9381","#N/A"
"Беброво","Елена","Велико Търново","5084","03054"
"Беглеж","Плевен","Плевен","5872","03068"
"Бегово","Калояново","Пловдив","4166","03085"
"Бегуновци","Брезник","Перник","2395","03099"
"Бегунци","Карлово","Пловдив","4359","03109"
"Беден","Девин","Смолян","4817","03112"
"Беджене","Нови пазар","Шумен","9924","03126"
"Бедрово","Черноочене","Кърджали","6716","#N/A"
"Бежаново","Генерал Тошево","Добрич","9567","03157"
"Бежаново","Луковит","Ловеч","5792","03143"
"Безводица","Балчик","Добрич","9637","03174"
"Безводно","Черноочене","Кърджали","6718","03188"
"Безден","Костинброд","София","2236","03191"
"Безденица","Монтана","Монтана","3454","03201"
"Безмер","Тервел","Добрич","9480","03215"
"Безмер","Тунджа","Ямбол","8637","03229"
"Бейковци","Елена","Велико Търново","5094","03232"
"Беклемето","Троян","Ловеч","5673","#N/A"
"Бекриите","Габрово","Габрово","5300","03246"
"Бел Камен","Якоруда","Благоевград","2793","03561"
"Бела","Димово","Видин","3965","03263"
"Бела Рада","Видин","Видин","3731","03280"
"Беланица","Радомир","Перник","2453","03277"
"Беласица","Петрич","Благоевград","2881","03294"
"Белащица","Родопи","Пловдив","4124","03304"
"Белгун","Каварна","Добрич","9690","03318"
"Белев дол","Смолян","Смолян","4738","03321"
"Белевехчево","Сандански","Благоевград","2800","03335"
"Белеврен","Средец","Бургас","8345","03349"
"Белене","Белене","Плевен","5930","03366"
"Беленци","Луковит","Ловеч","5783","03373"
"Бели брег","Бойчиновци","Монтана","3441","03383"
"Бели брод","Бойчиновци","Монтана","3447","03397"
"Бели бряг","Раднево","Стара Загора","6262","03407"
"Бели вир","Черноочене","Кърджали","6702","03410"
"Бели дол","Ивайловград","Хасково","6590","03424"
"Бели извор","Враца","Враца","3040","03438"
"Бели Искър","Самоков","София","2011","03441"
"Бели Лом","Лозница","Разград","7293","24092"
"Бели Осъм","Троян","Ловеч","5662","03486"
"Бели пласт","Кърджали","Кърджали","6689","03499"
"Белила","Средец","Бургас","8316","03455"
"Белимел","Чипровци","Монтана","3462","03469"
"Белинци","Исперих","Разград","7432","03472"
"Белица","Белица","Благоевград","2780","03504"
"Белица","Трявна","Габрово","5363","03513"
"Белица","Лъки","Пловдив","4242","03530"
"Белица","Тутракан","Силистра","7648","03527"
"Белица","Ихтиман","София","2062","07960"
"Белица","Любимец","Хасково","6557","03544"
"Белиш","Троян","Ловеч","5628","03558"
"Бело поле","Благоевград","Благоевград","2709","03664"
"Бело поле","Ружинци","Видин","3961","03678"
"Беловец","Кубрат","Разград","7321","03575"
"Беловица","Хисаря","Пловдив","4182","03589"
"Белово","Белово","Пазарджик","4470","03592"
"Белоградец","Ветрино","Варна","9230","03602"
"Белоградчик","Белоградчик","Видин","3900","03616"
"Белодол","Поморие","Бургас","8219","27440"
"Белозем","Раковски","Пловдив","4130","03620"
"Белокопитово","Шумен","Шумен","9801","03633"
"Беломорци","Омуртаг","Търговище","7917","03647"
"Беломъжите","Габрово","Габрово","5340","03650"
"Белополци","Ивайловград","Хасково","6588","03681"
"Белополяне","Ивайловград","Хасково","6584","03695"
"Белопопци","Горна Малина","София","2132","03705"
"Белослав","Белослав","Варна","9178","03719"
"Белотинци","Монтана","Монтана","3499","03722"
"Белцов","Ценово","Русе","7138","03745"
"Белчевци","Велико Търново","Велико Търново","5035","03753"
"Белчин","Самоков","София","2025","03767"
"Белчински бани","Самоков","София","2024","03770"
"Бельово","Сандански","Благоевград","2824","03784"
"Беляковец","Велико Търново","Велико Търново","5031","03798"
"Беляново","Ценово","Русе","7134","03808"
"Бенковски","Аврен","Варна","9133","03811"
"Бенковски","Добрич","Добрич","9380","#N/A"
"Бенковски","Марица","Пловдив","4201","03839"
"Бенковски","Мирково","София","2076","03842"
"Бенковски","Стара Загора","Стара Загора","6055","03856"
"Бенковски","Кирково","Кърджали","6865","03825"
"Берайнци","Трън","Перник","2488","03873"
"Беренде","Земен","Перник","2435","03887"
"Беренде","Драгоман","София","2212","03890"
"Беренде извор","Драгоман","София","2212","03900"
"Бериево","Севлиево","Габрово","5438","03914"
"Берковица","Берковица","Монтана","3500","03928"
"Берковски","Попово","Търговище","7857","03931"
"Берковци","Елена","Велико Търново","5093","03945"
"Бероново","Сунгурларе","Бургас","8448","03959"
"Берсин","Кюстендил","Кюстендил","2587","03962"
"Беслен","Хаджидимово","Благоевград","2934","03976"
"Беснурка","Черноочене","Кърджали","6698","03986"
"Биволаре","Долна Митрополия","Плевен","5849","03993"
"Биволяне","Момчилград","Кърджали","6837","04008"
"Бижовци","Велико Търново","Велико Търново","5035","04011"
"Бижовци","Трявна","Габрово","5350","04025"
"Биково","Сливен","Сливен","8885","04039"
"Билинци","Брезник","Перник","2383","04042"
"Билка","Руен","Бургас","8551","04056"
"Билкини","Дряново","Габрово","5370","04068"
"Било","Каварна","Добрич","9691","04090"
"Билянска","Смолян","Смолян","4789","04100"
"Бинкос","Сливен","Сливен","8855","04114"
"Биркова","Велинград","Пазарджик","4650","07836"
"Бисер","Харманли","Хасково","6470","04128"
"Бисерци","Кубрат","Разград","7334","04131"
"Бистра","Алфатар","Силистра","7557","04145"
"Бистра","Търговище","Търговище","7777","04159"
"Бистренци","Бяла","Русе","7121","04162"
"Бистрец","Средец","Бургас","8334","04176"
"Бистрец","Крушари","Добрич","9412","04193"
"Бистрилица","Берковица","Монтана","3527","04203"
"Бистрица","Благоевград","Благоевград","2724","04217"
"Бистрица","Дупница","Кюстендил","2644","04220"
"Бистрица","Район Панчарево","София","1444","#N/A"
"Бистроглед","Ардино","Кърджали","6769","04248"
"Благово","Монтана","Монтана","3488","04251"
"Благово","Шумен","Шумен","9812","04265"
"Благоевград",0,"Благоевград","2700","#N/A"
"Благоево","Стражица","Велико Търново","5178","04282"
"Благоево","Разград","Разград","7275","04296"
"Благун","Крумовград","Кърджали","6955","04306"
"Блажиево","Бобошево","Кюстендил","2678","04314"
"Блатец","Кюстендил","Кюстендил","2548","04323"
"Блатец","Сливен","Сливен","8878","04337"
"Блатешница","Земен","Перник","2441","04340"
"Блатино","Дупница","Кюстендил","2617","04354"
"Блатница","Стрелча","Пазарджик","4537","04368"
"Блато","Бобов дол","Кюстендил","2657","04371"
"Блатска","Хаджидимово","Благоевград","2941","04399"
"Бленика","Кърджали","Кърджали","6742","04409"
"Близнак","Малко Търново","Бургас","8174","04412"
"Близнаци","Аврен","Варна","9132","04426"
"Близнаци","Хитрино","Шумен","9787","04430"
"Близнец","Твърдица","Сливен","8896","04443"
"Блъсково","Провадия","Варна","9240","04457"
"Блъсковци","Елена","Велико Търново","5078","04460"
"Боазът","Севлиево","Габрово","5453","04474"
"Бобевци","Габрово","Габрово","5300","04488"
"Бобешино","Кюстендил","Кюстендил","2567","04491"
"Бобов дол","Бобов дол","Кюстендил","2670","04501"
"Бобовец","Балчик","Добрич","9616","04515"
"Бобораци","Радомир","Перник","2454","04529"
"Бобошево","Бобошево","Кюстендил","2660","04532"
"Бов","Своге","София","2270","04546"
"Богатино","Ардино","Кърджали","6781","07925"
"Богатово","Севлиево","Габрово","5421","04555"
"Богдан","Добрич","Добрич","9348","#N/A"
"Богдан","Карлово","Пловдив","4343","04563"
"Богданица","Садово","Пловдив","4115","04594"
"Богданлия","Елин Пелин","София","2116","04604"
"Богданов дол","Перник","Перник","2341","04618"
"Богданово","Средец","Бургас","8337","04621"
"Богданово","Нова Загора","Сливен","8948","04635"
"Богдановци","Ихтиман","София","2060","04649"
"Богданско","Елена","Велико Търново","5084","04652"
"Богданци","Самуил","Разград","7449","04666"
"Богданци","Главиница","Силистра","7611","04670"
"Богданчовци","Габрово","Габрово","5301","04683"
"Богойна","Трън","Перник","2467","04697"
"Боголин","Сатовча","Благоевград","2931","04707"
"Богомил","Харманли","Хасково","6460","04724"
"Богомилово","Стара Загора","Стара Загора","6065","04738"
"Богомилци","Самуил","Разград","7458","04741"
"Богомолско","Антоново","Търговище","7997","04755"
"Богорово","Силистра","Силистра","7542","04772"
"Богорово","Стралджа","Ямбол","8687","04786"
"Богородица","Петрич","Благоевград","2875","66322"
"Богослов","Кюстендил","Кюстендил","2509","04796"
"Богутево","Чепеларе","Смолян","4855","04801"
"Богьовци","Костинброд","София","2235","04813"
"Боденец","Мездра","Враца","3128","04827"
"Бодрово","Димитровград","Хасково","6446","04844"
"Боево","Рудозем","Смолян","4964","04861"
"Боерица","Ихтиман","София","2066","04892"
"Божак","Кърджали","Кърджали","6744","04902"
"Божан","Тервел","Добрич","9475","04916"
"Божаново","Шабла","Добрич","9677","04927"
"Бождово","Сандански","Благоевград","2811","04933"
"Божевци","Сливен","Сливен","8844","04947"
"Боженица","Ботевград","София","2157","04950"
"Боженците","Габрово","Габрово","5349","04964"
"Божичен","Иваново","Русе","7089","04981"
"Божурец","Каварна","Добрич","9656","05009"
"Божурица","Долна Митрополия","Плевен","5848","05013"
"Божурище","Божурище","София","2227","05027"
"Божурка","Търговище","Търговище","7765","05030"
"Божурлук","Левски","Плевен","5926","05044"
"Божурово","Добрич","Добрич","9368","#N/A"
"Божурово","Кубрат","Разград","7335","05058"
"Божурово","Върбица","Шумен","9874","05075"
"Божурци","Черноочене","Кърджали","6704","05089"
"Бозаджии","Сливен","Сливен","8872","05092"
"Бозвелийско","Провадия","Варна","9273","05102"
"Боздуганово","Раднево","Стара Загора","6269","17960"
"Бозьова","Велинград","Пазарджик","4654","07853"
"Боил","Дулово","Силистра","7683","05124"
"Бойковец","Етрополе","София","2181","05147"
"Бойково","Родопи","Пловдив","4103","05150"
"Бойковци","Елена","Велико Търново","5080","05164"
"Бойник","Крумовград","Кърджали","6958","05181"
"Бойница","Бойница","Видин","3840","05195"
"Бойно","Кърджали","Кърджали","6730","05205"
"Бойновци","Габрово","Габрово","5307","05219"
"Бойчеви колиби","Велико Търново","Велико Търново","5050","05222"
"Бойчета","Габрово","Габрово","5309","07908"
"Бойчиновци","Бойчиновци","Монтана","3430","05236"
"Бойчовци","Велико Търново","Велико Търново","5038","05240"
"Бокиловци","Берковица","Монтана","3517","05253"
"Болтата","Габрово","Габрово","5340","05267"
"Болярино","Раковски","Пловдив","4132","05270"
"Болярово","Болярово","Ямбол","8720","05284"
"Болярски извор","Харманли","Хасково","6474","05298"
"Болярско","Тунджа","Ямбол","8631","05308"
"Болярци","Аврен","Варна","9124","05311"
"Болярци","Кърджали","Кърджали","6681","05325"
"Болярци","Садово","Пловдив","4114","05339"
"Бонево","Тервел","Добрич","9472","05342"
"Бор","Асеновград","Пловдив","4233","07870"
"Борец","Брезово","Пловдив","4144","05356"
"Борие","Рудозем","Смолян","4961","05365"
"Борика","Мадан","Смолян","4926","05387"
"Борика","Ихтиман","София","2064","05390"
"Борики","Габрово","Габрово","5335","05400"
"Бориково","Смолян","Смолян","4762","05414"
"Бориловец","Бойница","Видин","3838","05428"
"Борилово","Стара Загора","Стара Загора","6046","05431"
"Борима","Троян","Ловеч","5672","05445"
"Боримечково","Лесичово","Пазарджик","4464","05459"
"Борино","Борино","Смолян","4824","05462"
"Бориново","Мадан","Смолян","4905","05476"
"Боринци","Котел","Сливен","8999","05480"
"Борислав","Пордим","Плевен","5889","05493"
"Бориславци","Маджарово","Хасково","6478","05503"
"Борисово","Сливо поле","Русе","7064","05517"
"Борисово","Елхово","Ямбол","8731","05520"
"Борнарево","Радомир","Перник","2407","05534"
"Боров дол","Твърдица","Сливен","8898","05551"
"Борован","Борован","Враца","3240","05548"
"Боровец","Кочериново","Кюстендил","2626","05565"
"Боровец","Самоков","София","2010","#N/A"
"Боровина","Мадан","Смолян","4923","05579"
"Боровица","Белоградчик","Видин","3955","05582"
"Боровица","Ардино","Кърджали","6790","80176"
"Боровичене","Петрич","Благоевград","2884","05596"
"Борово","Гоце Делчев","Благоевград","2904","05606"
"Борово","Лъки","Пловдив","4243","05623"
"Борово","Борово","Русе","7174","05611"
"Борово","Стара Загора","Стара Загора","6070","05637"
"Боровско","Черноочене","Кърджали","6698","05640"
"Боровци","Берковица","Монтана","3528","05654"
"Борското","Габрово","Габрово","5333","05668"
"Борущица","Мъглиж","Стара Загора","6187","05671"
"Борци","Венец","Шумен","9752","05685"
"Боряна","Дългопол","Варна","9255","05699"
"Босевци","Елена","Велико Търново","5084","05709"
"Босилица","Черноочене","Кърджали","6697","05712"
"Босилково","Сунгурларе","Бургас","8446","05726"
"Босилково","Баните","Смолян","4945","05737"
"Босилковци","Бяла","Русе","7128","05743"
"Босна","Ситово","Силистра","7533","05757"
"Боснек","Перник","Перник","2345","05760"
"Бостаните","Чупрене","Видин","3952","#N/A"
"Бостанци","Черноочене","Кърджали","6716","05791"
"Бостина","Смолян","Смолян","4745","05801"
"Ботевград","Ботевград","София","2140","05815"
"Ботево","Аксаково","Варна","9159","05829"
"Ботево","Видин","Видин","3746","05832"
"Ботево","Хайредин","Враца","3353","05846"
"Ботево","Вълчедръм","Монтана","3634","05852"
"Ботево","Тунджа","Ямбол","8638","05863"
"Ботров","Бяла","Русе","7125","05877"
"Ботуня","Криводол","Враца","3046","05894"
"Ботурче","Ивайловград","Хасково","6589","05904"
"Бохова","Трън","Перник","2483","05918"
"Бохот","Плевен","Плевен","5891","05921"
"Бочковци","Велико Търново","Велико Търново","5035","05935"
"Бошуля","Септември","Пазарджик","4481","05949"
"Бояджик","Тунджа","Ямбол","8640","05952"
"Боян","Венец","Шумен","9771","05966"
"Боян Ботево","Минерални бани","Хасково","6374","05983"
"Бояна","Вълчи дол","Варна","9147","05978"
"Бояново","Грамада","Видин","3832","05997"
"Бояново","Елхово","Ямбол","8730","06001"
"Бояновци","Велико Търново","Велико Търново","5041","06015"
"Боянци","Асеновград","Пловдив","4246","06029"
"Брадвари","Силистра","Силистра","7568","06032"
"Бракница","Попово","Търговище","7855","06046"
"Бракьовци","Годеч","София","2251","06050"
"Браниполе","Родопи","Пловдив","4109","06077"
"Браница","Харманли","Хасково","6463","06080"
"Браничево","Каолиново","Шумен","9967","06094"
"Бранище","Добрич","Добрич","9361","#N/A"
"Бранковци","Велико Търново","Велико Търново","5041","06118"
"Бранковци","Грамада","Видин","3824","06121"
"Братан","Котел","Сливен","8983","06135"
"Братаница","Пазарджик","Пазарджик","4412","06149"
"Братово","Бургас","Бургас","8111","06152"
"Братово","Търговище","Търговище","7764","06166"
"Братушково","Сливница","София","2222","06175"
"Братя Даскалови","Братя Даскалови","Стара Загора","6250","06183"
"Братя Кунчеви","Стара Загора","Стара Загора","6057","06197"
"Брацигово","Брацигово","Пазарджик","4579","06207"
"Брегаре","Долна Митрополия","Плевен","5862","06210"
"Брегово","Кирково","Кърджали","6878","07942"
"Брегово","Брегово","Видин","3790","06224"
"Брежана","Джебел","Кърджали","6850","07939"
"Брежани","Симитли","Благоевград","2750","06238"
"Брежниците","Трявна","Габрово","5360","06241"
"Бреза","Рудозем","Смолян","4959","06255"
"Брезе","Девин","Смолян","4849","06269"
"Брезе","Своге","София","2278","06272"
"Брезен","Ардино","Кърджали","6792","77116"
"Брезник","Брезник","Перник","2360","06286"
"Брезница","Гоце Делчев","Благоевград","2972","06306"
"Брезнишки извор","Брезник","Перник","2385","06313"
"Брезовдол","Своге","София","2292","06327"
"Брезово","Елена","Велико Търново","5083","06344"
"Брезово","Тетевен","Ловеч","5721","#N/A"
"Брезово","Брезово","Пловдив","4160","06361"
"Бреница","Кнежа","Плевен","5834","06375"
"Бреница","Тутракан","Силистра","7649","06389"
"Брест","Трекляно","Кюстендил","2558","06392"
"Брест","Гулянци","Плевен","5971","06402"
"Брестак","Вълчи дол","Варна","9290","06416"
"Брестака","Мирково","София","2072","06421"
"Бресте","Червен бряг","Плевен","5992","06433"
"Брестник","Родопи","Пловдив","4107","06447"
"Брестница","Тервел","Добрич","9484","06464"
"Брестница","Ябланица","Ловеч","5761","06450"
"Брестова","Мъглиж","Стара Загора","6194","#N/A"
"Брестовене","Завет","Разград","7331","06481"
"Брестовец","Плевен","Плевен","5884","06495"
"Брестовица","Родопи","Пловдив","4224","06505"
"Брестовица","Борово","Русе","7177","06519"
"Брестово","Симитли","Благоевград","2735","06522"
"Брестово","Ловеч","Ловеч","5551","06536"
"Брод","Димитровград","Хасково","6442","06547"
"Бродилово","Царево","Бургас","8282","06553"
"Брош","Кърджали","Кърджали","6737","06567"
"Брусарци","Брусарци","Монтана","3680","06570"
"Брусевци","Маджарово","Хасково","6488","06584"
"Брусен","Мездра","Враца","3126","06598"
"Брусен","Етрополе","София","2185","06608"
"Брусино","Ивайловград","Хасково","6595","06625"
"Брусник","Брезник","Перник","2372","06639"
"Брънеците","Габрово","Габрово","5342","06642"
"Бръчковци","Елена","Велико Търново","5081","06662"
"Бръшлен","Сливо поле","Русе","7069","06673"
"Бръшлян","Малко Търново","Бургас","8163","06687"
"Бръшляница","Плевен","Плевен","5844","06690"
"Бръщен","Доспат","Смолян","4821","06700"
"Бряговец","Крумовград","Кърджали","6929","06728"
"Бряговица","Стражица","Велико Търново","5152","06731"
"Брягово","Първомай","Пловдив","4294","06745"
"Брягово","Хасково","Хасково","6355","06759"
"Бряст","Димитровград","Хасково","6434","06762"
"Брястовец","Бургас","Бургас","8113","06776"
"Брястово","Балчик","Добрич","9647","06793"
"Брястово","Нова Загора","Сливен","8935","06788"
"Брястово","Минерални бани","Хасково","6345","06803"
"Бубино","Ивайловград","Хасково","6582","06817"
"Будилци","Кресна","Благоевград","2844","#N/A"
"Бузовград","Казанлък","Стара Загора","6159","06848"
"Бузяковци","Ихтиман","София","2060","06851"
"Буйновица","Венец","Шумен","9756","06865"
"Буйново","Борино","Смолян","4812","06879"
"Буйново","Търговище","Търговище","7753","06882"
"Буйновци","Елена","Велико Търново","5097","06896"
"Бук","Крумовград","Кърджали","6966","06906"
"Букак","Антоново","Търговище","7996","06919"
"Буката","Смолян","Смолян","4763","06923"
"Букаците","Смолян","Смолян","4782","02988"
"Букова поляна","Мадан","Смолян","4935","06937"
"Буковец","Велико Търново","Велико Търново","5063","06940"
"Буковец","Видин","Видин","3762","06954"
"Буковец","Бяла Слатина","Враца","3242","06968"
"Буковец","Брусарци","Монтана","3678","06971"
"Буковец","Своге","София","2293","06985"
"Буковлък","Плевен","Плевен","5839","06999"
"Буково","Гоце Делчев","Благоевград","2915","07003"
"Буково","Първомай","Пловдив","4295","56335"
"Буково","Мадан","Смолян","4930","07017"
"Букоровци","Годеч","София","2253","07020"
"Булаир","Долни чифлик","Варна","9115","07034"
"Буново","Кюстендил","Кюстендил","2539","07048"
"Буново","Мирково","София","2074","07051"
"Бунцево","Якоруда","Благоевград","2791","07822"
"Бураново","Кочериново","Кюстендил","2628","07065"
"Бургас",0,"Бургас","8000","#N/A"
"Бургаски мин. бани","Бургас","Бургас","8124","#N/A"
"Бурево","Неделино","Смолян","4998","07911"
